Name,Atom Count_Cation,Atom Count_Anion,Volume_Cation,Volume_Anion,Radius_Cation,Radius_Anion,Volume Cation/Volume Anion,Polar Area_Cation,Polar Area_Anion,Polar Area_IonPair,Rotatable Bonds_Cation,Rotatable Bonds_Anion,Rotatable Bond Fraction_Anion,Rotatable Bond Fraction_Cation,H-Bond Acceptors_Anion,H-Bond Acceptors_Cation,H-Bond Donors_Anion,H-Bond Donors_Cation,H-Bond Interactions_Anion,H-Bond Interactions_Cation,Molecular Weight_Cation,Molecular Weight_Anion,Temperature,LogP_Anion,LogP_Cation,Bond Count_Anion,Bond Count_Cation,Asphericity_Cation,Spherocity_Cation,Asphericity_Anion,Spherocity_Anion,Valence Electrons_Cation,Valence Electrons_Anion,Min Partial Charge_Anion,Min Partial Charge_Cation,Max Partial Charge_Cation,Max Partial Charge_Anion,Asphericity Cation_StDev%,Spherocity_Cation_StDev%,Asphericity Anion_StDev%,Spherocity_Anion_StDev%,SMILES_Anion,SMILES_Cation,Mols_Cation,Mols_Anion,Heat_capacity_at_constant_pressure
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,286,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,551
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,308,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,563
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,313,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,566
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,306,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,562
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,283,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,549
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,303,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,561
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,311,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,564
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,301,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,559
"['1-ethyl-3-methylimidazolium', 'ethylsulfate']",19,13,117.80448,96.7792,3.04E-10,2.85E-10,1.217249988,8.8,72,80.8,1,2,0.166666667,0.052631579,4,0,1,0,0,0,111.17,126.13,308,-0.1743,0.3325,12,19,0.46990524,0.21550037,0.326176579,0.307204195,44,44,-0.263528447,-0.239534146,0.243018699,0.396839261,0.004315927,0.004875214,9.201448497,8.692068027,CCOS(=O)(=O)O,CCN1C=C[N+](=C1)C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae64b80>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e7c0>,432
"['1-ethyl-3-methylimidazolium', 'ethylsulfate']",19,13,117.80448,96.7792,3.04E-10,2.85E-10,1.217249988,8.8,72,80.8,1,2,0.166666667,0.052631579,4,0,1,0,0,0,111.17,126.13,313,-0.1743,0.3325,12,19,0.46990524,0.21550037,0.326176579,0.307204195,44,44,-0.263528447,-0.239534146,0.243018699,0.396839261,0.004315927,0.004875214,9.201448497,8.692068027,CCOS(=O)(=O)O,CCN1C=C[N+](=C1)C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae64b80>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e7c0>,460
